,variable_names
1,ALLONCAM
2,APPLFEEG
3,APPLFEEU
4,ASSOC1
5,ASSOC2
6,ASSOC3
7,ASSOC4
8,ASSOC5
9,ASSOC6
10,ATHASSOC
11,BOARD
12,BOARDAMT
13,CALSYS
14,CNTLAFFI
15,CONFNO1
16,CONFNO2
17,CONFNO3
18,CONFNO4
19,CREDITS1
20,CREDITS2
21,CREDITS3
22,CREDITS4
23,FT_FTUG
24,FT_UG
25,LEVEL1
26,LEVEL12
27,LEVEL2
28,LEVEL3
29,LEVEL4
30,LEVEL5
31,LEVEL6
32,LEVEL7
33,LEVEL8
34,MEALSWK
35,OPENADMP
36,PEO1ISTR
37,PEO2ISTR
38,PEO3ISTR
39,PEO4ISTR
40,PEO5ISTR
41,PEO6ISTR
42,PT_FTUG
43,PT_UG
44,PUBPRIME
45,PUBSECON
46,RELAFFIL
47,RMBRDAMT
48,ROOM
49,ROOMAMT
50,ROOMCAP
51,SLO5
52,SLO51
53,SLO52
54,SLO53
55,SLO6
56,SLO7
57,SLO8
58,SLO81
59,SLO82
60,SLO83
61,SLO9
62,SPORT1
63,SPORT2
64,SPORT3
65,SPORT4
66,STUSRV1
67,STUSRV2
68,STUSRV3
69,STUSRV4
70,STUSRV8
71,STUSRV9
72,TUITVARY
73,UNITID
74,XAPPFEEG
75,XAPPFEEU
76,XBORDAMT
77,XMEALSWK
78,XRMBDAMT
79,XROOMAMT
80,XROOMCAP
81,YRSCOLL
