Programme,Year,Total,SC,ST,OBC,PWD,Muslim,OtherMinorityCommunities,ForeignStudents
A.N.M.-Auxiliary Nurse & Midwife,2012,4192,681,161,1328,3,23,20,0
Ayurvedacharya-Ayurvedacharya,2012,8612,765,460,1948,15,109,13,21
Ayurveda Vachaspati-Ph.D in Ayurveda,2012,155,3,2,5,0,0,0,3
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,2012,14144,1002,502,3037,44,319,176,8
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,2012,1207,72,11,293,4,25,74,48
B.D.S.-Bachelor of Dental Surgery,2012,54091,3511,938,11065,33,1986,1269,1085
B.H.A.-Bachelor of Hospital Administration,2012,628,4,5,6,0,13,1,7
B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery,2012,23608,2219,1281,5924,14,1488,369,60
B.I.M.-Bachelor of Indian Medicine,2012,1,1,0,0,0,0,0,0
B.Nat.(Ayu)-Bachelor of Ayurved in Naturopathy,2012,19,3,0,6,0,0,0,0
B.Optom.-Bachelor of Clinical Optometry,2012,1965,48,24,174,5,46,73,70
B.O.T.-Bachelor of Occupational Therapy,2012,737,71,17,152,1,48,60,15
B.Pharm.(Ayu.) -Bachelor of Ayurved in Pharmacy,2012,8039,953,333,2334,0,278,26,145
B.Pharm.-Bachelor of Pharmacy,2012,115474,14339,5063,32916,681,6670,1767,2042
B.P.T.-Bachelor of Physiotherapy,2012,16667,1514,553,2971,15,692,660,486
B.Sc.-Bachelor of Science,2012,1619,402,100,345,0,24,176,0
B.Sc.(Nursing)-Bachelor of Science in Nursing,2012,119684,13380,4401,23684,219,1739,11944,1583
B.S.Course-Bachelor of Science (Physician Assistant and Emergency & Trauma Care Management),2012,2224,124,24,1040,0,135,20,1
B.Sc.(Post Basic)-B.Sc (Post Basic),2012,10620,443,104,1274,1,89,1091,15
B.S.M.S.-Bachelor of Sridhar Medicine and Surgery,2012,1424,319,11,786,0,45,42,3
B.U.M.S.-Bachelor of Unani Medicine and Surgery,2012,3434,10,4,902,3,2940,94,3
Certificate-Certificate,2012,4369,390,107,957,0,20,115,1
Diploma-Diploma,2012,85091,13158,5079,17116,363,1454,3264,108
D.M.-Doctor of Medicine,2012,238,2,0,8,0,1,0,1
D.Pharma-Diploma in Pharmacy,2012,13542,1342,486,3835,5,655,160,0
G.N.M.-General Nursing & Midwifery,2012,91581,20319,7028,16403,1082,1863,5143,141
Integrated Ph.D-Integrated Doctor of Philosophy,2012,323,16,1,56,0,31,48,0
M.A.M.S.-Master of Ayurved in Medicine and Surgery,2012,83,0,1,0,0,0,8,0
M.B.A.- Master of Business Administration,2012,32,0,0,0,0,0,0,0
M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery,2012,100306,8232,2967,22674,159,2910,4847,2123
M.Ch.-Master of Chirurgiae,2012,453,6,1,21,0,3,4,2
M.D.-Doctor of Medicine,2012,20020,1494,607,3255,62,500,279,131
M.D.S.-Master of Dental Surgery,2012,7140,256,79,1067,4,150,116,12
M.H.M.S.-Master of Homeopathic Medicine and Science,2012,51,3,0,2,0,3,2,0
M.Optom. -Master of Optometry,2012,434,0,8,3,0,0,0,1
M.O.T. -Master of Occupational Therapy,2012,209,11,1,33,0,14,7,1
M.Pharm. -Master of Pharmacy,2012,28548,2319,792,7111,166,912,365,46
M.Phil.-Master of Philosophy,2012,97,5,2,22,0,0,0,1
M.P.H. -Master of Public Health,2012,498,40,15,100,1,3,1,26
M.P.T.-Master of Physiotherapy,2012,3385,170,25,576,0,117,125,42
M.Sc.(Medical Anatomy) -Master of Science in Medical Anatomy,2012,238,21,0,116,0,4,7,2
M.Sc.(Medical Pharmacology)-Master of Science in Medical Pharmacology,2012,40,4,0,18,0,2,0,0
M.Sc.(Medical Physiology)-Master of Science in Medical Physiology,2012,86,7,0,22,0,5,12,2
M.Sc. Nursing-Master of Science in Nursing,2012,9505,482,120,1493,17,107,1139,56
M.S.-Master of Surgery,2012,4877,301,184,793,4,47,100,37
PG Diploma-Post Graduate Diploma,2012,6426,530,152,1222,4,179,52,1
Pharm.D.-Doctor of Pharmacy,2012,1847,66,27,264,0,158,196,94
Ph.D.-Doctor of Philosophy,2012,1990,94,19,283,1,37,8,8
Vachaspati-Vachaspati,2012,959,59,28,134,5,18,15,8
A.N.M.-Auxiliary Nurse & Midwife,2013,7138,1114,597,2035,8,26,219,0
Ayurvedacharya-Ayurvedacharya,2013,16537,877,554,2519,27,191,25,54
Ayurveda Vachaspati-Ph.D in Ayurveda,2013,118,5,2,10,0,0,0,3
B.A.M.-Bachelor of Ayurved Medicine,2013,1660,16,0,334,0,20,0,0
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,2013,17923,1301,605,3440,45,501,230,12
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,2013,1544,79,27,397,9,40,132,66
B.D.S.-Bachelor of Dental Surgery,2013,63005,4070,1126,12936,30,2928,1550,1060
B.H.A.-Bachelor of Hospital Administration,2013,680,6,8,11,0,7,0,4
B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery,2013,28633,2512,1400,7203,16,1725,337,61
B.Nat.(Ayu)-Bachelor of Ayurved in Naturopathy,2013,54,14,5,17,0,0,0,0
B.Optom.-Bachelor of Clinical Optometry,2013,3401,98,37,285,0,39,10,73
B.O.T.-Bachelor of Occupational Therapy,2013,998,82,27,234,2,44,80,18
B.Pharm.(Ayu.) -Bachelor of Ayurved in Pharmacy,2013,7677,678,342,2244,148,406,30,269
B.Pharm.-Bachelor of Pharmacy,2013,129319,16085,4599,37666,233,7480,2161,2625
B.P.T.-Bachelor of Physiotherapy,2013,23634,1921,749,4431,23,875,567,625
B.Sc.-Bachelor of Science,2013,5568,820,252,1238,2,100,404,47
B.Sc.(Nursing)-Bachelor of Science in Nursing,2013,143024,16472,6089,28838,519,1802,11854,1793
B.S.Course-Bachelor of Science (Physician Assistant and Emergency & Trauma Care Management),2013,2632,102,75,1328,0,51,13,0
B.Sc.(Post Basic)-B.Sc (Post Basic),2013,14744,589,190,1434,0,129,1416,13
B.S.M.S.-Bachelor of Sridhar Medicine and Surgery,2013,1653,355,15,1087,0,53,48,2
B.U.M.S.-Bachelor of Unani Medicine and Surgery,2013,4439,20,3,1009,5,2943,3,0
Certificate-Certificate,2013,3456,527,154,1142,1,21,14,4
Diploma-Diploma,2013,73794,12074,4597,16366,192,1133,2404,68
D.M.-Doctor of Medicine,2013,478,7,1,8,0,1,0,1
D.Pharma-Diploma in Pharmacy,2013,17703,1778,543,5471,21,865,197,1
G.N.M.-General Nursing & Midwifery,2013,98502,20164,7376,21655,119,1148,5762,237
Integrated Ph.D-Integrated Doctor of Philosophy,2013,347,16,0,61,0,30,61,0
M.A.M.S.-Master of Ayurved in Medicine and Surgery,2013,91,0,0,0,0,0,0,0
M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery,2013,131018,10372,3504,26984,186,3721,5359,2289
M.Ch.-Master of Chirurgiae,2013,526,9,2,23,0,4,12,3
M.D.-Doctor of Medicine,2013,24855,1819,890,4312,90,566,324,115
M.D.S.-Master of Dental Surgery,2013,7895,253,71,1063,12,321,165,9
M.H.M.S.-Master of Homeopathic Medicine and Science,2013,75,2,0,1,0,4,3,0
M.Optom. -Master of Optometry,2013,581,1,6,6,0,0,0,2
M.O.T. -Master of Occupational Therapy,2013,257,12,1,29,0,14,9,0
M.Pharm. -Master of Pharmacy,2013,32206,2997,865,8441,95,1111,404,78
M.Phil.-Master of Philosophy,2013,107,8,4,26,0,0,0,0
M.P.H. -Master of Public Health,2013,682,64,22,131,0,6,6,104
M.P.T.-Master of Physiotherapy,2013,3572,192,67,516,0,117,111,54
M.Sc.-Master of Science,2013,378,31,5,17,1,7,37,5
M.Sc.(Medical Anatomy) -Master of Science in Medical Anatomy,2013,395,28,31,125,0,2,5,2
M.Sc.(Medical Pharmacology)-Master of Science in Medical Pharmacology,2013,27,3,0,8,0,1,0,1
M.Sc.(Medical Physiology)-Master of Science in Medical Physiology,2013,46,3,0,11,0,2,1,2
M.Sc. Nursing-Master of Science in Nursing,2013,10004,523,155,1611,20,95,1119,100
