"","Region","Year","specialization","seats"
"1","Central",1998,"addiction",0
"2","Central",1999,"addiction",0
"3","Central",2000,"addiction",0
"4","Central",2001,"addiction",0
"5","Central",2002,"addiction",0
"6","Central",2003,"addiction",0
"7","Central",2004,"addiction",0
"8","Central",2005,"addiction",0
"9","Central",2006,"addiction",0
"10","Central",2007,"addiction",0
"11","Central",2008,"addiction",0
"12","Central",2009,"addiction",0
"13","Central",2010,"addiction",0
"14","Central",2011,"addiction",0
"15","Central",2012,"addiction",0
"16","Central",2013,"addiction",0
"17","Central",2014,"addiction",0
"18","Central",2015,"addiction",0
"19","Central",2016,"addiction",0
"20","Central",2017,"addiction",0
"21","Central",2018,"addiction",0
"22","Central",1998,"admin1",0
"23","Central",1999,"admin1",0
"24","Central",2000,"admin1",0
"25","Central",2001,"admin1",0
"26","Central",2002,"admin1",0
"27","Central",2003,"admin1",0
"28","Central",2004,"admin1",0
"29","Central",2005,"admin1",0
"30","Central",2006,"admin1",0
"31","Central",2007,"admin1",0
"32","Central",2008,"admin1",0
"33","Central",2009,"admin1",0
"34","Central",2010,"admin1",0
"35","Central",2011,"admin1",0
"36","Central",2012,"admin1",0
"37","Central",2013,"admin1",0
"38","Central",2014,"admin1",0
"39","Central",2015,"admin1",0
"40","Central",2016,"admin1",0
"41","Central",2017,"admin1",0
"42","Central",2018,"admin1",0
"43","Central",1998,"anatomy",20
"44","Central",1999,"anatomy",20
"45","Central",2000,"anatomy",20
"46","Central",2001,"anatomy",20
"47","Central",2002,"anatomy",20
"48","Central",2003,"anatomy",20
"49","Central",2004,"anatomy",20
"50","Central",2005,"anatomy",20
"51","Central",2006,"anatomy",19
"52","Central",2007,"anatomy",19
"53","Central",2008,"anatomy",19
"54","Central",2009,"anatomy",19
"55","Central",2010,"anatomy",19
"56","Central",2011,"anatomy",19
"57","Central",2012,"anatomy",19
"58","Central",2013,"anatomy",19
"59","Central",2014,"anatomy",23
"60","Central",2015,"anatomy",28
"61","Central",2016,"anatomy",28
"62","Central",2017,"anatomy",28
"63","Central",2018,"anatomy",29
"64","Central",1998,"anesthesia",37
"65","Central",1999,"anesthesia",37
"66","Central",2000,"anesthesia",37
"67","Central",2001,"anesthesia",37
"68","Central",2002,"anesthesia",37
"69","Central",2003,"anesthesia",37
"70","Central",2004,"anesthesia",37
"71","Central",2005,"anesthesia",37
"72","Central",2006,"anesthesia",33
"73","Central",2007,"anesthesia",33
"74","Central",2008,"anesthesia",33
"75","Central",2009,"anesthesia",33
"76","Central",2010,"anesthesia",35
"77","Central",2011,"anesthesia",38
"78","Central",2012,"anesthesia",43
"79","Central",2013,"anesthesia",44
"80","Central",2014,"anesthesia",54
"81","Central",2015,"anesthesia",60
"82","Central",2016,"anesthesia",65
"83","Central",2017,"anesthesia",78
"84","Central",2018,"anesthesia",91
"85","Central",1998,"blood",0
"86","Central",1999,"blood",0
"87","Central",2000,"blood",0
"88","Central",2001,"blood",0
"89","Central",2002,"blood",0
"90","Central",2003,"blood",0
"91","Central",2004,"blood",0
"92","Central",2005,"blood",0
"93","Central",2006,"blood",0
"94","Central",2007,"blood",0
"95","Central",2008,"blood",0
"96","Central",2009,"blood",0
"97","Central",2010,"blood",0
"98","Central",2011,"blood",0
"99","Central",2012,"blood",0
"100","Central",2013,"blood",0
"101","Central",2014,"blood",0
"102","Central",2015,"blood",0
"103","Central",2016,"blood",0
"104","Central",2017,"blood",0
"105","Central",2018,"blood",0
"106","Central",1998,"bones",40
"107","Central",1999,"bones",40
"108","Central",2000,"bones",40
"109","Central",2001,"bones",40
"110","Central",2002,"bones",40
"111","Central",2003,"bones",40
"112","Central",2004,"bones",40
"113","Central",2005,"bones",40
"114","Central",2006,"bones",40
"115","Central",2007,"bones",40
"116","Central",2008,"bones",32
"117","Central",2009,"bones",32
"118","Central",2010,"bones",32
"119","Central",2011,"bones",35
"120","Central",2012,"bones",35
"121","Central",2013,"bones",37
"122","Central",2014,"bones",41
"123","Central",2015,"bones",41
"124","Central",2016,"bones",49
"125","Central",2017,"bones",66
"126","Central",2018,"bones",71
"127","Central",1998,"brain",1
"128","Central",1999,"brain",1
"129","Central",2000,"brain",1
"130","Central",2001,"brain",1
"131","Central",2002,"brain",1
"132","Central",2003,"brain",1
"133","Central",2004,"brain",1
"134","Central",2005,"brain",1
"135","Central",2006,"brain",1
"136","Central",2007,"brain",1
"137","Central",2008,"brain",1
"138","Central",2009,"brain",1
"139","Central",2010,"brain",1
"140","Central",2011,"brain",3
"141","Central",2012,"brain",3
"142","Central",2013,"brain",3
"143","Central",2014,"brain",3
"144","Central",2015,"brain",3
"145","Central",2016,"brain",6
