Branch,yr_applied,Product,Price,Population,Poverty,count
Afzalpur,2018,Solar Light,24000,193251,37.2,1
Anekal,2018,Cook Stove,1240,352425,1.5,2
Anekal,2018,Solar Light Selco,12500,352425,1.5,1
Anekal,2018,Solar Light,15500,352425,1.5,8
Anekal,2017,Cook Stove,2350,352425,1.5,198
Anekal,2018,Cook Stove,2350,352425,1.5,557
Anekal,2018,Greenway Jumbo Stove GJS1,2350,352425,1.5,135
Arasikere,2017,Solar Light,10000,262123,1.5,21
Arasikere,2017,Solar Light,11800,262123,1.5,3
Arasikere,2017,Solar Light,12800,262123,1.5,20
Arasikere,2017,Cook Stove,1300,262123,1.5,1
Arasikere,2017,Solar Light,15300,262123,1.5,1
Arasikere,2017,Solar Light,15750,262123,1.5,1
Arasikere,2017,Solar Light,16300,262123,1.5,1
Arasikere,2017,Solar Light,9000,262123,1.5,29
Arkalgud,2012,Gobar Gas Plant         ,10000,187775,1.5,1
Arkalgud,2013,Gobar Gas Plant         ,10000,187775,1.5,16
Arkalgud,2014,Gobar Gas Plant         ,10000,187775,1.5,2
Arkalgud,2015,Gobar Gas Plant         ,10000,187775,1.5,1
Arkalgud,2014,Solar Light,10000,187775,1.5,2
Arkalgud,2015,Solar Light,10000,187775,1.5,1
Arkalgud,2016,Solar Light,10000,187775,1.5,1
Arkalgud,2017,Solar Light,10000,187775,1.5,10
Arkalgud,2018,Solar Light Selco,10000,187775,1.5,8
Arkalgud,2017,Solar Light,11000,187775,1.5,4
Arkalgud,2017,Solar Light,11407,187775,1.5,1
Arkalgud,2018,Solar Light,11500,187775,1.5,85
Arkalgud,2018,Solar Light Selco,11500,187775,1.5,18
Arkalgud,2018,Solar Light,11800,187775,1.5,17
Arkalgud,2013,Gobar Gas Plant         ,12000,187775,1.5,2
Arkalgud,2014,Solar Light,12000,187775,1.5,1
Arkalgud,2017,Cook Stove,1240,187775,1.5,7
Arkalgud,2018,Cook Stove,1240,187775,1.5,3
Arkalgud,2018,Solar Light,12500,187775,1.5,66
Arkalgud,2018,Solar Light Selco,12500,187775,1.5,29
Arkalgud,2017,Solar Light,12800,187775,1.5,41
Arkalgud,2018,Solar Light,12800,187775,1.5,22
Arkalgud,2014,Cook Stove,1300,187775,1.5,71
Arkalgud,2015,Cook Stove,1300,187775,1.5,20
Arkalgud,2014,Solar Light,13000,187775,1.5,1
Arkalgud,2016,Solar Light,13800,187775,1.5,1
Arkalgud,2017,Solar Light,13800,187775,1.5,3
Arkalgud,2018,Solar Light,14500,187775,1.5,12
Arkalgud,2018,Solar Light Selco,14500,187775,1.5,1
Arkalgud,2018,Solar Light,14750,187775,1.5,4
Arkalgud,2016,Solar Light,14800,187775,1.5,1
Arkalgud,2017,Solar Light,14800,187775,1.5,2
Arkalgud,2013,Gobar Gas Plant         ,15000,187775,1.5,1
Arkalgud,2014,Solar Light,15000,187775,1.5,4
Arkalgud,2015,Solar Light,15000,187775,1.5,1
Arkalgud,2018,Solar Light,15000,187775,1.5,2
Arkalgud,2018,Solar Light,15500,187775,1.5,12
Arkalgud,2018,Solar Light Selco,15500,187775,1.5,3
Arkalgud,2017,Solar Light,15750,187775,1.5,9
Arkalgud,2018,Solar Light,15750,187775,1.5,3
Arkalgud,2015,Solar Light,16000,187775,1.5,1
Arkalgud,2016,Solar Light,16000,187775,1.5,1
Arkalgud,2015,Solar Light,16300,187775,1.5,1
Arkalgud,2016,Solar Light,16300,187775,1.5,3
Arkalgud,2017,Solar Light,16300,187775,1.5,2
Arkalgud,2018,Solar Light,16300,187775,1.5,1
Arkalgud,2016,Solar Light,16400,187775,1.5,2
Arkalgud,2017,Solar Light,16500,187775,1.5,1
Arkalgud,2018,Solar Light,16500,187775,1.5,5
Arkalgud,2018,Solar Light,17500,187775,1.5,1
Arkalgud,2013,Gobar Gas Plant         ,20000,187775,1.5,17
Arkalgud,2014,Gobar Gas Plant         ,20000,187775,1.5,4
Arkalgud,2014,Solar Light,20000,187775,1.5,2
Arkalgud,2013,Gobar Gas Plant         ,22000,187775,1.5,2
Arkalgud,2017,Solar Light,22000,187775,1.5,1
Arkalgud,2017,Solar Light,23000,187775,1.5,3
Arkalgud,2018,Solar Light,23000,187775,1.5,2
Arkalgud,2018,Cook Stove,2350,187775,1.5,185
Arkalgud,2018,Greenway Jumbo Stove GJS1,2350,187775,1.5,278
Arkalgud,2013,Gobar Gas Plant         ,25000,187775,1.5,5
Arkalgud,2014,Gobar Gas Plant         ,25000,187775,1.5,9
Arkalgud,2014,Solar Light,25000,187775,1.5,1
Arkalgud,2014,Cook Stove,2600,187775,1.5,1
Arkalgud,2015,Cook Stove,2600,187775,1.5,1
Arkalgud,2014,Gobar Gas Plant         ,30000,187775,1.5,1
Arkalgud,2015,Solar Light,30000,187775,1.5,2
Arkalgud,2017,Solar Light,36000,187775,1.5,1
Arkalgud,2018,Solar Light,36000,187775,1.5,10
Arkalgud,2013,Gobar Gas Plant         ,4500,187775,1.5,1
Arkalgud,2012,Gobar Gas Plant         ,5000,187775,1.5,1
Arkalgud,2013,Gobar Gas Plant         ,5000,187775,1.5,7
Arkalgud,2015,Solar Light,50000,187775,1.5,1
Arkalgud,2013,Gobar Gas Plant         ,8000,187775,1.5,5
Arkalgud,2018,Solar Light,8000,187775,1.5,43
Arkalgud,2017,Solar Light,8492,187775,1.5,1
Arkalgud,2017,Solar Light,8944,187775,1.5,1
Arkalgud,2017,Solar Light,9000,187775,1.5,78
Arkalgud,2018,Solar Light,9000,187775,1.5,124
Arkalgud,2018,Solar Light Selco,9000,187775,1.5,58
Arkalgud,2017,Solar Light,9354,187775,1.5,1
Arkalgud,2015,Solar Light,9400,187775,1.5,1
Arkalgud,2017,Solar Light,9400,187775,1.5,2
Arkalgud,2017,Solar Light,9500,187775,1.5,6
Arkalgud,2017,Solar Light,9517,187775,1.5,1
Arsikere,2014,Gobar Gas Plant         ,10000,262123,11.6,1
Arsikere,2015,Gobar Gas Plant         ,10000,262123,11.6,1
Arsikere,2014,Solar Light,10000,262123,11.6,1
Arsikere,2015,Solar Light,10000,262123,11.6,6
Arsikere,2017,Solar Light,10000,262123,11.6,142
Arsikere,2018,Solar Light,10000,262123,11.6,100
Arsikere,2018,Solar Light,10500,262123,11.6,10
Arsikere,2018,Solar Light Selco,10500,262123,11.6,53
Arsikere,2016,Solar Light,10800,262123,11.6,2
Arsikere,2017,Solar Light,10800,262123,11.6,21
Arsikere,2016,Solar Light,11000,262123,11.6,1
Arsikere,2018,Solar Light,11500,262123,11.6,37
Arsikere,2014,Solar Light,11800,262123,11.6,1
Arsikere,2015,Solar Light,11800,262123,11.6,17
Arsikere,2016,Solar Light,11800,262123,11.6,21
Arsikere,2017,Solar Light,11800,262123,11.6,159
Arsikere,2018,Solar Light,11800,262123,11.6,57
Arsikere,2014,Solar Light,12000,262123,11.6,1
Arsikere,2015,Solar Light,12000,262123,11.6,5
Arsikere,2017,Solar Light,12000,262123,11.6,13
Arsikere,2018,Solar Light,12500,262123,11.6,69
Arsikere,2018,Solar Light Selco,12500,262123,11.6,26
Arsikere,2017,Solar Light,12750,262123,11.6,1
Arsikere,2014,Solar Light,12800,262123,11.6,7
Arsikere,2015,Solar Light,12800,262123,11.6,53
Arsikere,2016,Solar Light,12800,262123,11.6,10
Arsikere,2017,Solar Light,12800,262123,11.6,115
Arsikere,2018,Solar Light,12800,262123,11.6,44
Arsikere,2014,Cook Stove,1300,262123,11.6,43
Arsikere,2015,Cook Stove,1300,262123,11.6,15
Arsikere,2016,Cook Stove,1300,262123,11.6,14
Arsikere,2017,Cook Stove,1300,262123,11.6,11
Arsikere,2016,Solar Light,13000,262123,11.6,1
Arsikere,2015,Solar Light,13800,262123,11.6,1
Arsikere,2016,Solar Light,13800,262123,11.6,6
Arsikere,2017,Solar Light,13800,262123,11.6,23
Arsikere,2014,Solar Light,14000,262123,11.6,1
