"","branch","district"
"1","Afzalpur","Gulbarga"
"2","Anekal","Bangalore"
"3","Arsikere","Hassan"
"4","Arkalgud","Hassan"
"5","Athani","Belgaum"
"6","Aurad","Bidar"
"7","Badami","Bagalkot"
"8","Bagalkot","Bagalkot"
"9","Bagepalli","Chikkaballapura"
"10","Bailhongal","Belgaum"
"11","Bangarpet","Kolar"
"12","Bantwal","DakshinaKannada"
"13","Basavakalyan","Bidar"
"14","BasavanBagevadi","Bijapur"
"15","Belgaum","Belgaum"
"16","Bellary","Bellary"
"17","Belthangady","DakshinaKannada"
"18","Belur","Hassan"
"19","Bhadravathi","Shimoga"
"20","Bhalki","Bidar"
"21","Bidar","Bidar"
"22","Bijapur","Bijapur"
"23","Challakere","Chitradurga"
"24","Chamarajanagar","Chamarajanagar"
"25","Channagere","Davanagere"
"26","Channapatna","Ramanagara"
"27","Channarayapatna","Hassan"
"28","Chikamagalur","Chikmagalur"
"29","Chikkaballapura","Chikkaballapura"
"30","Chiknayakanahalli","Tumkur"
"31","Chikodi","Belgaum"
"32","Chintamani","Chikkaballapura"
"33","Chitapur","Gulbarga"
"34","Chitradurga","Chitradurga"
"35","Dandeli","UttaraKannada"
"36","Davanagere","Davanagere"
"37","Devadurga","Raichur"
"38","Devanahalli","BangaloreRural"
"39","Devdurga","Raichur"
"40","Dharwad","Dharwad"
"41","Doddaballapur","BangaloreRural"
"42","Gadaga","Gadag"
"43","Gangavathi","Koppal"
"44","Gauribidanur","Chikkaballapura"
"45","Gokak","Belgaum"
"46","Gubbi","Tumkur"
"47","Gundlupet","Chamarajanagar"
"48","Hagaribommanahalli","Bellary"
"49","Hanagal","Haveri"
"50","Harappanahalli","Davanagere"
"51","Harihara","Davanagere"
"52","Hassan","Hassan"
"53","Haveri","Haveri"
"54","Heggadevanakote","Mysore"
"55","Hirekerur","Haveri"
"56","Hiriyur","Chitradurga"
"57","Holalkere","Chitradurga"
"58","Holenarasipura","Hassan"
"59","Homnabad","Bidar"
"60","Honnali","Davanagere"
"61","Honnavar","UttaraKannada"
"62","Hosadurga","Chitradurga"
"63","Hosakote","BangaloreRural"
"64","Hosanagar","Shimoga"
"65","Hosapete","Bellary"
"66","Hubli","Dharwad"
"67","Hukeri","Belgaum"
"68","Hungund","Bagalkot"
"69","Hunsur","Mysore"
"70","Huvinahadagali","Bellary"
"71","Indi","Bijapur"
"72","Jagalur","Davanagere"
"73","Jamkhandi","Bagalkot"
"74","Jevargi","Gulbarga"
"75","Kadur","Chikmagalur"
"76","Kanakapura","Ramanagara"
"77","Karkala","Udupi"
"78","Karwar","UttaraKannada"
"79","Khanapur","Belgaum"
"80","Kinnigoli","DakshinaKannada"
"81","Kittur","Belgaum"
"82","Kolar","Kolar"
"83","Kollegal","Chamarajanagar"
"84","Koppa","Chikmagalur"
"85","Koppal","Koppal"
"86","Koratagere","Tumkur"
"87","Krishnarajapete","Mandya"
"88","Krishnarajnagara","Mysore"
"89","Kudligi","Bellary"
"90","Kumble-Kasargud","Kasargod"
"91","Kumta","UttaraKannada"
"92","Kundagol","Dharwad"
"93","Kundapur","Udupi"
"94","KundapurB","Udupi"
"95","Kunigal","Tumkur"
"96","Kushtagi","Koppal"
"97","Lingsugar","Raichur"
"98","Maddur","Mandya"
"99","Madhugiri","Tumkur"
"100","Magadi","Ramanagara"
"101","Malavalli","Mandya"
"102","Malur","Kolar"
"103","Mandya","Mandya"
"104","MangaloreUrban","DakshinaKannada"
"105","MangaloreUrban","DakshinaKannada"
"106","Manvi","Raichur"
"107","Molakalmuru","Chitradurga"
"108","Mudigere","Chikmagalur"
"109","Mudalagi","Belgaum"
"110","Muddebihal","Bijapur"
"111","Mudhol","Bagalkot"
"112","Mulubagilu","Kolar"
"113","Mysore","Mysore"
"114","Nagamangala","Mandya"
"115","Nanjanagudu","Mysore"
"116","Navalgunda","Dharwad"
"117","Nelamangala","BangaloreRural"
"118","Pandavapura","Mandya"
"119","Pavagada","Tumkur"
"120","Piriyapatna","Mysore"
"121","Puttur","DakshinaKannada"
"122","Raichur","Raichur"
"123","Ramanagara","Ramanagara"
"124","Ramdurg","Belgaum"
"125","Ranebennur","Haveri"
"126","Raichur","Raichur"
"127","Raybag","Belgaum"
"128","Rona","Gadag"
"129","Sagar","Shimoga"
"130","Sakleshpura","Hassan"
"131","Sandoor","Bellary"
"132","Sandur","Bellary"
"133","Saundatti","Belgaum"
"134","Saundatti","Belgaum"
"135","Sedam","Gulbarga"
"136","Shahpur","Yadgir"
"137","Sidlaghatta","Chikkaballapura"
"138","Shiggaon","Haveri"
"139","Shiggaon","Haveri"
"140","Shikarpur","Shimoga"
"141","Shikarpur","Shimoga"
"142","Shimoga","Shimoga"
"143","Shirahatti","Gadag"
"144","Shorapur","Yadgir"
"145","Srinivasapura","Kolar"
"146","Shrirangapatna","Mandya"
"147","Sindagi","Bijapur"
"148","Sindhanur","Raichur"
"149","Sira","Tumkur"
"150","Sirsi","UttaraKannada"
"151","Sirsi","UttaraKannada"
"152","Siruguppa","Bellary"
"153","Somwarpet","Kodagu"
"154","Sorab","Shimoga"
"155","Sullia","DakshinaKannada"
"156","Tarikere","Chikmagalur"
"157","Thirumakudal-Narasipura","Mysore"
"158","Tiptur","Tumkur"
"159","Tirthahalli","Shimoga"
"160","Tumkur","Tumkur"
"161","Turuvekere","Tumkur"
"162","Udupi","Udupi"
"163","Virajpet","Kodagu"
"164","Yadgir","Yadgir"
"165","Yelburga","Koppal"
"166","Yelendur","Chamarajanagar"
"167","Yellapur-Mundgod","UttaraKannada"
"168","Puttur","DakshinaKannada"
