"","district","branch","yr_applied","mo_applied","product","population","poverty","price","count","loan_per_branch","agg_date","pop_wt","weighted_loans_bybranchprod","weighted_count_bybranchprod","hml_cookstove","hml_gobargas","hml_jumbostove","hml_solarlight"
"1","Bagalkot","Bagalkot",2018,3,"SolarLight",173181,35.8,257.3333,1.666667,428.8889,"2018-03-01",0.4888835,209.6767,0.8148059,"Medium","Medium","Medium","Low"
"2","Bagalkot","Bagalkot",2015,3,"SolarLight",173181,35.8,422,1,422,"2015-03-01",0.4888835,206.3089,0.4888835,"Medium","Medium","Medium","Low"
"3","Bagalkot","Jamkhandi",2015,8,"CookStove",298146,35.8,504.75,1.75,883.3125,"2015-08-01",0.8416551,743.4445,1.472896,"Medium","Medium","Medium","Low"
"4","Bagalkot","Jamkhandi",2016,10,"CookStove",298146,35.8,161,20,3220,"2016-10-01",0.8416551,2710.129,16.8331,"Medium","Medium","Medium","Low"
"5","Bagalkot","Bagalkot",2015,2,"SolarLight",173181,35.8,485.3333,1,485.3333,"2015-02-01",0.4888835,237.2715,0.4888835,"Medium","Medium","Medium","Low"
"6","Bagalkot","Bagalkot",2014,11,"GobarGasPlant",173181,35.8,178,1,178,"2014-11-01",0.4888835,87.02127,0.4888835,"Medium","Medium","Medium","Low"
"7","Bagalkot","Bagalkot",2015,3,"CookStove",173181,35.8,161,11,1771,"2015-03-01",0.4888835,865.8127,5.377719,"Medium","Medium","Medium","Low"
"8","Bagalkot","Badami",2014,10,"CookStove",246804,35.8,161,45,7245,"2014-10-01",0.6967185,5047.726,31.35233,"Medium","Medium","Medium","Low"
"9","Bagalkot","Badami",2013,12,"GobarGasPlant",246804,35.8,688,1,688,"2013-12-01",0.6967185,479.3423,0.6967185,"Medium","Medium","Medium","Low"
"10","Bagalkot","Badami",2014,12,"GobarGasPlant",246804,35.8,373.3333,1.333333,497.7778,"2014-12-01",0.6967185,346.811,0.928958,"Medium","Medium","Medium","Low"
