branch,district,yr_applied,mo_applied,product,population,poverty,price,count,loan_per_branch,agg_date,pop_wt,weighted_loans_bybranchprod,weighted_count_bybranchprod
"Afzalpur","Gulbarga",2018,7,"SolarLight",193251,37.2,407,1,407,"2018-07-01",.5455404,222.0349,.5455404
"Anekal","Bangalore",2018,9,"SolarLight",352425,1.5,142,1,142,"2018-09-01",.9948827,141.2733,.9948827
"Arkalgud","Hassan",2014,9,"CookStove",187775,1.5,161,24,3864,"2014-09-01",.5300819,2048.236,12.72196
"Arsikere","Hassan",2015,9,"CookStove",262123,11.6,161,1,161,"2015-09-01",.7399635,119.1341,.7399635
"Athani","Belgaum",2014,2,"GobarGasPlant",477990,28.8,179,1,179,"2014-02-01",1.349348,241.5333,1.349348
"Aurad","Bidar",2018,8,"CookStove",248299,35.1,408.5,55.5,22671.75,"2018-08-01",.7009388,15891.51,38.90211
"Badami","Bagalkot",2018,8,"GreenwayJumboStoveGJS1",246804,35.8,396,27,10692,"2018-08-01",.6967185,7449.314,18.8114
"Bagalkot","Bagalkot",2015,8,"SolarLight",173181,35.8,460,1,460,"2015-08-01",.4888835,224.8864,.4888835
"Bagepalli","Chikkaballapura",2017,10,"CookStove",150576,1.6,264.5,8.5,2248.25,"2017-10-01",.4250705,955.6646,3.613099
"Bailhongal","Belgaum",2017,9,"SolarLight",88900,28.8,334.4167,8,2675.333,"2017-09-01",.2509614,671.4054,2.007691
"Bangarpet","Kolar",2017,2,"CookStove",235340,10,161,20,3220,"2017-02-01",.6643561,2139.227,13.28712
"Bantwal","DakshinaKannada",2015,1,"CookStove",279482,1.6,161,9,1449,"2015-01-01",.7889673,1143.214,7.100706
"Basavakalyan","Bidar",2018,2,"SolarLight",275530,35.1,421.6667,1.333333,562.2222,"2018-02-01",.7778109,437.3026,1.037081
"BasavanBagevadi","Bijapur",2018,6,"SolarLight",315523,23.1,198,2.5,495,"2018-06-01",.8907097,440.9013,2.226774
"Belgaum","Belgaum",2014,12,"GobarGasPlant",313511,28.8,118,3,354,"2014-12-01",.8850299,313.3006,2.65509
"Bellary","Bellary",2016,8,"SolarLight",360484,40.8,10,1,10,"2016-08-01",1.017633,10.17633,1.017633
"Belthangady","DakshinaKannada",2012,10,"SolarLight",251802,1.6,346,1,346,"2012-10-01",.7108277,245.9464,.7108277
"Belur","Hassan",2017,3,"SolarLight",161974,11.6,481.3333,4.666667,2246.222,"2017-03-01",.4572466,1027.077,2.133817
"Bhadravathi","Shimoga",2014,7,"SolarLight",188744,29.3,251.5,3,754.5,"2014-07-01",.5328173,402.0107,1.598452
"Bhalki","Bidar",2018,8,"CookStove",237017,35.1,396,59,23364,"2018-08-01",.6690902,15632.62,39.47632
"Bidar","Bidar",2018,8,"SolarLight",253921,35.1,50,3,150,"2018-08-01",.7168096,107.5214,2.150429
"Bijapur","Bijapur",2018,8,"SolarLight",393648,23.1,940,1,940,"2018-08-01",1.111254,1044.578,1.111254
"Challakere","Chitradurga",2015,3,"SolarLight",310590,46.7,381.75,1.5,572.625,"2015-03-01",.876784,502.0685,1.315176
"Chamarajanagar","Chamarajanagar",2017,3,"SolarLight",287924,1.6,467,3,1401,"2017-03-01",.8127987,1138.731,2.438396
"Channagere","Davanagere",2018,8,"SolarLight",281004,23.3,361.3333,3.166667,1144.222,"2018-08-01",.7932639,907.6701,2.512002
"Channapatna","Ramanagara",2018,8,"GreenwayJumboStoveGJS1",189362,10.5,396,6,2376,"2018-08-01",.5345619,1270.119,3.207371
"Channarayapatna","Hassan",2018,3,"SolarLight",232896,11.6,335.5833,2.333333,783.0278,"2018-03-01",.6574568,514.8069,1.534066
"Chikamagalur","Chikmagalur",2018,7,"SolarLight",186967,1.6,343.5,5,1717.5,"2018-07-01",.5278009,906.498,2.639004
"Chikkaballapura","Chikkaballapura",2018,8,"SolarLight",148884,1.6,909,1,909,"2018-08-01",.420294,382.0472,.420294
"Chiknayakanahalli","Tumkur",2013,1,"GobarGasPlant",174620,13,349,2.5,872.5,"2013-01-01",.4929458,430.0952,1.232364
"Chikodi","Belgaum",2015,2,"SolarLight",503838,28.8,454.2857,2.857143,1297.959,"2015-02-01",1.422316,1846.108,4.06376
"Chintamani","Chikkaballapura",2018,2,"SolarLight",222002,1.6,152,2,304,"2018-02-01",.6267034,190.5178,1.253407
"Chitapur","Gulbarga",2018,8,"SolarLight",273639,37.2,268,1.333333,357.3333,"2018-08-01",.7724727,276.0302,1.029964
"Chitradurga","Chitradurga",2014,2,"GobarGasPlant",272142,46.7,10,3,30,"2014-02-01",.7682468,23.0474,2.30474
"Dandeli","UttaraKannada",2013,4,"SolarLight",53287,19.6,790,1,790,"2013-04-01",.1504272,118.8375,.1504272
"Davanagere","Davanagere",2014,11,"SolarLight",247008,23.3,178,1.5,267,"2014-11-01",.6972944,186.1776,1.045942
"Devadurga","Raichur",2017,1,"SolarLight",251677,37.7,344.6667,1.166667,402.1111,"2017-01-01",.7104748,285.6898,.8288873
"Devanahalli","BangaloreRural",2018,6,"CookStove",146705,15.7,396,95,37620,"2018-06-01",.4141428,15580.05,39.34356
"Devdurga","Raichur",2015,1,"SolarLight",251677,37.7,934,1,934,"2015-01-01",.7104748,663.5835,.7104748
"Dharwad","Dharwad",2015,2,"CookStove",232765,34,161,1,161,"2015-02-01",.657087,105.791,.657087
"Doddaballapur","BangaloreRural",2016,7,"SolarLight",198546,15.7,10,1,10,"2016-07-01",.560488,5.60488,.560488
"Gadaga","Gadag",2015,2,"SolarLight",175883,21.8,656,1,656,"2015-02-01",.4965112,325.7113,.4965112
"Gangavathi","Koppal",2014,10,"SolarLight",345263,40.7,240.2,1.2,288.24,"2014-10-01",.9746646,280.9373,1.169598
"Gauribidanur","Chikkaballapura",2017,3,"CookStove",243122,1.6,230,30,6900,"2017-03-01",.6863244,4735.638,20.58973
"Gokak","Belgaum",2015,2,"CookStove",476448,28.8,161,3,483,"2015-02-01",1.344995,649.6326,4.034985
"Gubbi","Tumkur",2015,11,"CookStove",244072,13,161,24,3864,"2015-11-01",.6890062,2662.32,16.53615
"Gundlupet","Chamarajanagar",2014,8,"GobarGasPlant",194965,1.6,10,1,10,"2014-08-01",.5503789,5.503789,.5503789
"Hagaribommanahalli","Bellary",2018,9,"SolarLight",188238,40.8,473.75,1.25,592.1875,"2018-09-01",.5313889,314.6819,.6642361
"Hanagal","Haveri",2018,7,"SolarLight",232296,33.7,516.5,14,7231,"2018-07-01",.655763,4741.822,9.180681
"Harappanahalli","Davanagere",2014,9,"SolarLight",254964,23.3,422,1,422,"2014-09-01",.7197539,303.7361,.7197539
"Harihara","Davanagere",2014,11,"SolarLight",163668,23.3,274,1,274,"2014-11-01",.4620287,126.5959,.4620287
"Hassan","Hassan",2014,12,"CookStove",218682,11.6,161,480,77280,"2014-12-01",.6173311,47707.35,296.319
