State Id,Program Title,ServiceCode,ServiceTitle,ActualStartDate,ActualEndDate,CompletionStatus,ServiceProviderName,CourseName,CredentialType 1,CredentialDate 1,CredentialType 2,CredentialDate 2,ExitReason,ExitDate,Q0 -Wages at Exit,EmploymentStartDate,EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,PlacementHourWage,MedicalBenefits,OtherBenefits,TrainRelatedEmp,NonTraditionalEmp,NAICSCode,QTR1A Exit,QTR2A Exit,QTR3A Exit,Year,OfficeName,JobOrderNo.,Q0 -Wages at Exit 
37124,DC Infrastructure Academy,101,Orientation,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,1/25/2019,0.0,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,0,0,0,2018,0,0.0,0.0
37124,DC Infrastructure Academy,102,Initial Assessment,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,1/25/2019,0.0,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,0,0,0,2018,0,0.0,0.0
37124,DC Infrastructure Academy,138,Career Counseling,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,1/25/2019,0.0,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,0,0,0,2018,0,0.0,0.0
37124,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/18/2018,11/1/2018,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,0,0,0,0,Successful Completion Employed,1/25/2019,0.0,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,0,0,0,2018,0,0.0,0.0
37124,DC Infrastructure Academy,608,1K Opportunities,6/25/2018,3/26/2019,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,1/25/2019,0.0,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,0,0,0,2018,0,0.0,0.0
438727,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/3/2019,0.0,11/3/2018,Bath & Bodyworks,0,0,Seasonal Associate,40,14,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
438727,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/3/2019,0.0,11/3/2018,Bath & Bodyworks,0,0,Seasonal Associate,40,14,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
438727,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/26/2018,4/26/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),0,0,0,",",Successful Completion Employed,10/3/2019,0.0,11/3/2018,Bath & Bodyworks,0,0,Seasonal Associate,40,14,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
170364,DC Infrastructure Academy,237,Submission of Local Training Package,3/20/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,6/7/2018,Hamilton Fish Institute,0,0,Development Assistant,40,18,0,0,9,0,0,0,0,0,2018,0,0.0,0.0
170364,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),8/28/2018,9/20/2018,Successful Completion,ITC Technologies LLC,Help Desk IT Training,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,6/7/2018,Hamilton Fish Institute,0,0,Development Assistant,40,18,0,0,9,0,0,0,0,0,2018,0,0.0,0.0
