Year,0,1st Choice Staffing Agency,"22nd Century Technologies, Inc.",22nd Century Technology,"ALBERTSONS COMPANIES, INC.",AMAZON.COM INC,ARAMARK,ARAMARK Food & Support Svc.,AT YOUR SERVICE DC,Access Demolition Contracting Inc.,Accupermit LLC,Adecco Employment Services,Advance Auto Parts,Aldo,Aldridge Electric,Aldridge Electric Inc,All My Sons Moving & Storage,Allied Universal,Allied Universal Security Service,Allied Universal Security Services,Alpha Staff,Alphabet Education Inc,Amazon,American Eagle Outfitters,Anchor Construction,Apex Systems Inc,Aramark,Area Wide Protective,Arlington County Government,Arlington County School,Avalon Bay Communities,B. Frank Joy LLC,"B. Frank Joy, LLC",BJ'S Wholesale Club,Baker DC LLC,"Baker DC, LLC",Bates Trucking & Trash Removal,Bath & Bodyworks,Best Buy,Big Bus Tours,Blackwood DC,Blue Ocean New Energy dba New Columbia Solar,Bob Evans Restaurant,Bolana Capitol Enterprises Inc,Brundage Bone & Blanchet LLC,Buckley Sandler LLP,Budget Rent A Car,Buffalo Wild Wings,Bullock Construction Inc,Burlington Stores (13200),CADC LLC,CHERRY HILL PROGRAMS INC,CHIPOTLE,CLP Electrical Contractors,COLONIAL PARKING INC.,COSTCO WHOLESALE CORPORATION,CW & Sons Infrastructure,Capital Area Food Bank,Capstone Logistics,Career Strategies Inc,Centerra Group LLC,Ceva Freight,Charley's Steakery,Chipotle,Chipotle Mexican Grill,Chop't Salad Rosslyn,City of College Park- Park & Rec,Classic Concierge Inc,"Classic Concierge, Inc.",Coca-Cola Bottling Co,Collaborative Solutions for Community,Commonwealth Power,Community Bridge Foundation,Compass Group USA,"Compass Group USA, Inc.",Connally Contracting Corporation,Constellis Group,Contemporary Services Corp,Crescent Hospitality Corporation,Cw Wright Construction,DC Circulator,DC Department of Behavioral Health,DC Department of Public Works,DC Department of Transportation,DC Dept of Aging & Community Living,DC Water and Sewer Authority,"DMCG, Inc. dba Go Staffing Solutions","DOLLAR TREE STORES, INC",DTSV,Darcars Chrysler Jeep Dodge,Darcars Ford,Darden Restaurants Inc,Department of Defense,Department of Public Works,Didlake,District Dept. of Transportation (DDOT),Dollar Tree,"Dollar Tree Stores, Inc","Domino's Pizza, LLC",Dynamic Concepts Inc,Dynamic Concepts Inc (DCI),Dynamic Concepts Inc.,Dynamic P S G LLC,ESCO Limited,ESQEV LLC,Eagle Protection,Eugene McCutchen,Eugene McCuthen,ExecuTech Strategic Consulting,Exelon Power,Express Employment Pro,Express Employment Professionals,FORREST SOLUTIONS,"Father Factor, Inc.",FedEx,FedEx Ground,"Fedcap Rehabilitation Services, Inc",Federal City Recovery Services,Fedex Express,Fema,Finish Line,First America,First America LLC,First Transit,Five Below,Five Guys,Five Guys Burgers and Fries,Flagger Force,Flagger Network LLC,Foot Locker,Fort Myer Construction Co,Fort Myer Construction Corp,Frank Crum,Fredo PC Repair,Fresh Fare L'enfant LLC,Future Care Health Mgmt Corp,GAP Inc,Garage Pros of Wi Inc,Garda World Government Svc Inc,George Washington University Hospital,Giant Automatic Money Systems,Gibbs & Cox Inc,Global Employment Solutions,Global Systems Engineering,Granite City Food & Brewery Ltd,Greenscape Environmental Svc,Grid Alternatives,Gurney Payroll Company,H4H Services LLC,HILLIS-CARNES SPECIALTY CONSTRUCTION GROUP,HOME DEPOT INC.,Hamilton Fish Institute,"Henkels & McCoy, Inc.",Hertz,Hillis-Carnes Engrng Assoc Inc,Hire Dynamics,Hire Quest,Hire Quest LLC,Home Depot,House Made LLC,"Human Touch, LLC",Innovative Delivery Logistics,Intersolutions Inc,Interstate Hotels & Resorts,Ipsun Solar,Iron Bow Technologies,Janjer Enterprises,"KLDiscovery Ontrack, LLC",Krispy Kreme Doughnuts,"LIBERTY ASSOCIATES GROUP, LTD",Labor Finders,Labor Max Staffing,Lakeland Tours LLC,Lane Construction,Lane Construction Corp,Last Mile Transports,Law Offices Of Nema Sayadian LLC,Le Pain Quotiden,Legacy International Zion Ministries,Life Enhancement Services,Little Fish,Lonch Inc,"MALILL, LLC",MD Dental Center,"MORAN FOODS, INC/ SAVE-A-LOT",MV Transportation Inc,"MV Transportation, Inc",Macy's,Macy's Inc,Maru Solutions Incorporated,Mb Staffing Svc LLC,"MedStar Georgetown Medical Center, Inc. d.b.a. MedStar Georgetown Univ. Hospital",Medstar - Company Group,Mercedes Benz -Florida,Miles & Stockbridge P.C.,Miller Pipe Line Corp,Miller Pipeline Corp,Mobilelink,Moran Foods LLC,Motir Service Inc,Mphasis Corp,NTT DATA Services,NTT Data Inc,Nando's Peri-Peri Chicken,"Nando's Restaurant Group, Inc.",National Caucus & Ctr On Black,Nestle USA Inc,New Columbia Solar,Nordstrom Rack,Office of the State Superintendent of Education,Old Town Trolley Tours,Otj Acchitects,Papa John's Pizza,Parts Authority,Pelenti Group LLC,Pepco,Pepco Holdings Inc,"Pepco Holdings, Inc.",Pepsi Beverages Co,Pilgrims Baptist Church,Pillow Express Delivery Inc,Pirate Castle LLC,Positive Construction Solutions,Powersolv Inc,Prince Security Svc,Prospect Waterproofing Co,Quadrant Inc,RL Harris Welding,Ralph O. McMillan & Associates,Randstad,Rehab Plus Staffing Group,Rehab Plus Staffing Group Inc,Reston Limousine,Reston Limousine & Travel Inc.,Retail Services WIS Corporation,Rms Electrical Svc Inc,Ronald Reagan Wa Natl Airport,Ross Dress For Less,"SAXON Collaborative Construction, LLC","SJ AND SON Construction  and Trucking, LLC","SOME, INC",SP Plus Corporation,SUPERVALU Retail East,Sandra Elizabeth- Dodds Bishop,Sears Outlet Store,Securamerica,Shake Shack,Shake Shack Inc,Sheehy Ford/Marlow Heights,Single Metal Work,Six Flags America,Skanska Walsh,"Sodexho Operations, inc",Sodexo,Sodexo-Howard University,Solar United Neighbors,Soul Tree LLC,Southwest Distribution,Strittmatter Co,Sunrise Senior Living - The Jefferson,Synergy Bis,THE BROSNAN RISK CONSULTANTS LTD,TPM Group LLC,"TPUSA-FHCS, INC",Target,Target Corporation,Target Inc,Telesis Corp,Teletech,Terra Smart Solar,The Calpro Group Inc,The Community Foundation for the National Captail Region,The Midtown Group,The Service Companies - SSC,The US Naval War Base,Thomas Facilities Services,Tompkins-Washington,Toni Thomas Assoc Inc,"Towne Park, LLC",Trader Joe's,Tradesmen International,Transdev,Transforce Inc,Trash Away,Trueblue Inc,Truly Solar,"Truly Solar, Inc.",Tyson Project Management Group,Tyson Project Management Group LLC,UPS,UPS Customer Ctr,UPS Store,US Department of Commerce,US Postal Service,"USIC, LLC",Under Armour,United States Postal Service,Uno Pizzeria & Grill,Usps,Utility Lines Construction,Utility Lines Construction Services,V-Tech Solutions,VENSURE EMPLOYER SERVICES (Hardware Store),Vensure Employer Services,ViacomCBS - CBS Network,Vivint Solar,WAL-MART,WDC Solar,WHEELS FOR WORK LLC,WMATA,WPP Law Office,Wal-Mart,Walmart,Walmart Supercenter,Washington DC Solar,Washington Metropolitan Area Transit Authority (WMATA),Washington Times LLC,Whole Foods  Market,Whole Foods Market,Williams Lea,Williams-Sonoma,Wmata,Woodspring Suites-Wa DC,You Break I Fix,Zeta Phi Beta Sorority,herwin-Williams Commercial Paint Store,istrict Dept. of Transportation (DDOT),lowe's,oasis,oasis group holdings inc,positive construction,sodexho,stohlman volkswagen subarun Tyson's corner,utiliquest
2018,1,1,0,0,1,1,1,0,1,3,1,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,3,1,3,1,1,0,0,6,1,2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1,2,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,2,0,0,1,0,1,0,1,2,2,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,5,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,2,0,0,0,0,2,2,3,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,2,1,2,1,0,2,1,0,4,0,1,0,1,0,0,1,1,1,0,4,1,1,1,0,0,1,1,2,3,0,1,4,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,6,0,0,6,1,0,2,1,1,2,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0
2019,1,0,1,2,0,0,1,3,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,2,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,4,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,2,1,1,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,2,7,0,1,1,0,1,1,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,3,0,1,0,0,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,2,1,1,3,0,3,2,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,2,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,1,1,2,1,1,2,3,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,3,1,1,2,1,6,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,5,3,4,1,1,1,1,3,1,1,1,2,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,10,15,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,5,1,1,2,1,1,6,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,4,1,5,5,2,1,5,1,1,1,1,1,3,1,1,1,3,1,1,1,3,1,6,1,1,7,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1st Choice Staffing Agency,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"22nd Century Technologies, Inc.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
