Year, Street Sign Installer,0,1st Level Apprentice,ASSOCIATE,ASSOCIATE EMPLOYEE PT,Admin Asst 1,Administrative,Agent,Apprentice,Apprentice 1,Armed Security Professional,Assistants,Associate,"Associate, Program Assistant",Asspciate,At Your Service Center Assoc,Auto Mechanic,Auto Tech,Automotive Tech,BUS OPERATOR,Baker-Assistant,Banquet Server,Bartender,Behavioral Health Tech,Bus Attendant,Bus Operator,CDL-B concrete pump truck driv,CITY CARRIER ASSISTANT 1,CONSTRUCTION-GENERAL LABORER,CRAFT WORKER SKILLED,CSR,CUSTODIAL WORKER,Cable Splicer,Canvasser,Carrier,Cashier,City Carrier Assistant 1,Cleaner,"Clerk, Cashier",Community Outreach Specialist,Concierge,Construction Laborer,Construction Worker,Construction worker,Contractor,Contractor-Clerk,Cook,Courier,Courier/DOT,Crew Member,Customer Service Specialist,DOCUMENT REVIEW ANALYST,Data  Seurity Analyst,Dedicated Aide,Delivery Associate,Delivery Driver,Delivery Expert,Demolition laborer,Desktop Support,Development Assistant,Dishwasher,Distribution Groundman,Driver,Driver in Training,Driver/Courier,ENGINEERING TECHNICIAN,Electrician,Energy Consultant,Event Staff,Event Staff Member,FIRST TRANSIT DRIVER,FLM Sales Associate,FOOD SERVICE,FREIGHT TEAM ASSOCIATE,Ffx Driver,Field Service Rep,Field Technician,Flagger,Flagger & Time Keeper,Floor Houseperson,Food Prep,Food Service Worker,Freight/Receiving,Fueler,Fulfillment Associate,Fulfillment Expert,Fundraising,GS CSR Tier I,Garage Attendant,Gen Utility Worker,General Clerk,General Construction Worker,General Laborer,General utility specialist,Griller,Groundman,Guest Advocate,Guest Request Runner,Guest Service Associate,Guest Services Ambassador,HOLIDAY CLERK ASSISTANT,HR Generalist,Hardware Store Associate,Help Desk,Help Desk Technician I,Help desk Technician,Helpdesk Senior Specialist,Helpdesk Technician,Helper,Helper Meter Technician,Helper Substation Tech,Helper Substation Technician,Helper Transformer Tester,Host,Housekeeper,IT Contractor,IT Help Desk,IT Management Analyst Contract,IT Operations Specialist Level,IT Support Specialist,IT Technical Support,IT Technician,In-Store Shopper,Inspector,Installer,Instructor,Interconnection Specialist,Intern,Intervention Specialist,LABORER UNSKILLED,Laborer,Laborer / Mover,Laborer Journe,Laborer Unskilled,Legal Sales Assistant,Light Mechanic,Line Cook,Line Locator,Lineman,Linemen,Litter Collector,Loader/Unloader,Loading,Lube Tech,MAINTENANCE TECH II,MATERIAL HANDLER,Maintence,Make Ready,Make Ready/Maintenance,Marina Guest Service Associate,Materials Hauler,Mechanic,Medical Assistant,Motor Vehicle Operator,Mover,N-ATHLETIC TEAMS,Nutrition Aide,OPS - UN: Security Professiona,Office Assistant,Office mover,Over Head Linemen,PATIENT SITTER,PC Specialist,PC Systems Specialist,PM - Maintenance II,PM-Porter/Groundskeeper I,PSE MAIL PROCESSING CLERK,PT Delivery Driver,PT S ales,Package Driver,Package Handler,ParaTransit Driver,Paratransit Driver,Parts Counter,Patient Care Coordinator,Personal Care,Pharmacy Tech,Pipefitter,Porter,Preloader,Prepared Foods Service Team Me,Production,Production Assembler,Program Coordinator,Protective Security Ofcr,Protector,RETAIL ASSOCIATE,Receiving Associate,Receptionist,Repair Tech,Retail Associate,Retail Hostess,Retail Sales,Runner,STUDENT M/BUS OPER,Safety Tech,Sales Associate,Sales Floor Associate,Sales Manager,Sales Specialist Appliances,Same Day Courier,Seasonal Associate,Seasonal Helper,Seasonal Sales Associate,Security,Security Guard,Security Officer,Security Officer - Premise,Server,Service Maintenance Technician,Sheet Metal Apprentice,Skilled Laborer,Small Format Team Member,Solar Installer,Solar Photovoltaic Installer,Sorter,Specialist Boutique Coffee,Sprinter Diesel Tech,Stand Worker,Stock Associate,Stock Clerk,Stock Worker and Receiver,Stockperson,Store Clerk,Store Driver,Street Sign Installer,Student Bus Operator,Substation Helper,Substation Helper NERC,Substation Operations Trainee,TECHNICIAN,TECHNICIAN TECH SERVICES,Taste of DC Event,Teachers Aide,Team Member,Temp Worker,Temp/Contractor,Temp/Laborer,Tier 1 IT Support,Tier Il Deskside Support Techn,Tour Bus Driver,Tour Driver,Traffic Control Services,Transit Bus Driver,Truck Driver with CDL B,Unskilled Laborer,Utility,Utility HLE TNC,Utility Service Worker Apprent,Utility Worker,Valet,WAV DC Driver (non CDL),Warehouse Laborer,Warehouse Worker,Warehouseman,admin,associate,canvasser,carpenter,case manager,concierge,contractor,crew member,custodian,dedicated aid,delivery driver,dishwasher,driver,driver in training,event cleaner,flagger,food service worker,general laborer,groundsman,helper,housekeeping,installer,laborer,laborer/mover,lineman,mail carrier,mover/installer,overnight merchandise associat,part time package handler,repair,sales,sales associate,seasonal helper,substation helper,substation technician,technician,unlisted,warehouse worker,workforce training supervisor
2018,2,1,0,3,1,1,1,1,0,0,1,0,7,0,0,1,1,1,1,1,1,1,1,0,0,4,1,1,1,0,1,1,1,0,0,8,2,1,1,0,1,1,1,0,0,1,1,1,0,3,1,1,0,1,1,0,1,1,0,1,0,0,13,1,0,0,2,0,4,0,1,1,0,1,1,1,1,3,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,4,1,1,1,0,2,11,1,0,1,1,1,1,0,3,1,0,0,1,1,1,1,0,1,1,0,1,0,0,2,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,0,0,0,1,1,0,1,1,2,1,1,0,1,0,3,0,0,1,1,1,0,1,1,5,0,1,1,0,0,2,1,2,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,4,1,1,0,0,0,0,1,1,0,0,1,1,1,0,5,1,1,1,1,0,0,3,0,0,1,1,0,0,0,1,0,1,1,1,2,1,1,1,0,0,0,1,2,0,1,1,2,1,1,1,0,1,1,0,1,1,1,1,1
2019,0,1,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,0,1,1,0,2,0,1,1,0,0,1,1,0,3,0,0,1,0,1,0,2,0,1,1,1,2,1,1,1,0,1,0,0,0,0,6,1,1,0,2,0,0,1,1,0,0,1,1,1,1,3,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,3,1,0,0,0,1,2,0,0,1,0,1,0,1,0,0,1,0,0,0,1,2,7,0,1,0,0,0,0,1,6,2,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,1,1,1,0,0,2,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,2,0,1,0,0,0,0,0,1,0,1,2,1,1,0,0,0,2,0,1,1,1,0,1,1,1,0,1,7,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,3,2,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2020,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,2,3,2,3,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,9,2,3,1,1,1,3,1,1,1,1,3,1,1,4,1,1,1,2,1,3,1,1,1,1,1,1,15,1,1,1,3,2,5,1,2,1,1,1,1,1,1,10,1,1,1,3,1,1,2,1,1,1,1,1,1,1,9,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,3,1,1,5,1,1,1,1,4,25,1,1,1,1,1,1,1,9,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,2,1,2,6,1,1,2,1,1,3,2,10,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,2,1,1,1,1,7,3,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Laborer,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Driver,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Associate,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
