Year,0,"Art and Soul Solutions, Inc.",CC Prep - MLK,"CNI, LLC",Community Tech LLC,DC Department of Employment Services,DC Department of Fire & Emergency Services,"DC Department of Insurance, Securities and Banking",Excel Automotive Institute,GRID Alternatives Mid-Atlantic,ITC Technologies LLC,Opportunities Industrialization Center of Washington-OIC/DC,"Pepco Holdings, Inc.",The Training Zone of the DMV,Toni Thomas Associates,University of the District of Columbia (UDC)
2018,12,0,17,0,1,148,1,0,6,12,2,0,0,65,0,1
2019,0,0,15,0,0,1,7,0,4,19,7,4,6,109,2,12
2020,0,0,0,6,0,0,0,0,0,0,0,0,4,2,0,9
2021,0,2,0,0,0,15,0,1,0,1,0,0,0,0,0,1
,12,2,32,6,1,164,8,1,10,32,9,4,10,176,2,23
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,0,12,,,,,,,,,,,
,,,,"Art and Soul Solutions, Inc.",2,,,,,,,,,,,
,,,,CC Prep - MLK,32,,,,,,,,,,,
,,,,"CNI, LLC",6,,,,,,,,,,,
,,,,Community Tech LLC,1,,,,,,,,,,,
,,,,DC Department of Employment Services,164,,,,,,,,,,,
,,,,DC Department of Fire & Emergency Services,8,,,,,,,,,,,
,,,,"DC Department of Insurance, Securities and Banking",1,,,,,,,,,,,
,,,,Excel Automotive Institute,10,,,,,,,,,,,
,,,,GRID Alternatives Mid-Atlantic,32,,,,,,,,,,,
,,,,ITC Technologies LLC,9,,,,,,,,,,,
,,,,Opportunities Industrialization Center of Washington-OIC/DC,4,,,,,,,,,,,
,,,,"Pepco Holdings, Inc.",10,,,,,,,,,,,
,,,,The Training Zone of the DMV,176,,,,,,,,,,,
,,,,Toni Thomas Associates,2,,,,,,,,,,,
,,,,University of the District of Columbia (UDC),23,,,,,,,,,,,
