State Id,OfficeName,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Exit
Reason","Exit
Date",Q0 -Wages at Exit,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
206252,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,Successful Completion Employed,9/9/2019,,9/9/2019,"Pepco Holdings, Inc.",Washington,DC,Lineman,40,20,1,1,9,0,221122,,,
228127,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,9/9/2019,,9/9/2019,"Pepco Holdings, Inc.",Washington,DC,Lineman,40,20,1,1,9,0,221122,,,
148018,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/27/2019,6/28/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/28/2019,Successful Completion Employed,8/22/2019,,8/22/2019,Compass Group USA,Leonardtown,MD,Cook,40,14,1,1,9,0,72231,,,
390195,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/8/2019,8/9/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,8/9/2019,Unknown Status,2/24/2020,,                              ,,,,,,,,,,,,,,
475296,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/21/2019,3/22/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/22/2019,Successful Completion Employed,7/24/2019,,7/24/2019,Career Strategies Inc,Alexandria,VA,PM-Porter/Groundskeeper I,40,15,1,1,9,0,541612,,,
206822,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/22/2019,3/15/2019,Successful Completion,ITC Technologies LLC,Cisco Certified Network Associate (CCNA),5,7/26/2019,Successful Completion Employed,12/2/2019,,12/2/2019,UPS Store,Bowie,MD,Team Member,40,13,1,1,9,0,541860,,,
278224,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/24/2019,7/24/2019,Successful Completion,DC Department of Fire & Emergency Services,First Aid/CPR/AED Training,5,6/7/2019,,,,                              ,,,,,,,,,,,,,,
509570,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/11/2019,7/12/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/12/2019,,,,                              ,,,,,,,,,,,,,,
113362,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),10/11/2018,12/7/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,12/7/2018,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
127958,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,5/10/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,7/8/2019,,7/8/2019,Legacy International Zion Ministries,,,Cleaner,60,12.5,0,0,9,0,,,,
