emp_name,hours_worked,hourly_rate_emp,total_wage,total_tips,hourly_rate_avg,tips_avg,source
P & P CORPORATION,272.0,5.0,1360.0,19002.0,74.86,69.86,ESSP
P & P CORPORATION,255.0,5.0,1275.0,18022.0,75.67,70.67,ESSP
P & P CORPORATION,66.0,5.0,330.0,2954.0,49.76,44.76,ESSP
P & P CORPORATION,335.0,5.0,1677.0,20859.0,67.27,62.27,ESSP
P & P CORPORATION,387.0,5.0,1935.0,11552.0,34.85,29.85,ESSP
P & P CORPORATION,278.0,5.0,1390.0,16139.0,63.05,58.05,ESSP
P & P CORPORATION,162.0,5.0,810.0,4603.0,33.41,28.41,ESSP
P & P CORPORATION,357.0,5.0,1787.0,18463.0,56.72,51.72,ESSP
THE PRIME RIB INC,472.0,500.0,2388.0,16685.0,40.41,35.35,ESSP
THE PRIME RIB INC,550.0,500.0,275.0,2239.0,4.57,4.07,ESSP
THE PRIME RIB INC,528.0,500.0,2722.0,18104.0,39.44,34.29,ESSP
THE PRIME RIB INC,700.0,575.0,38.0,325.0,0.52,0.46,ESSP
THE PRIME RIB INC,214.0,500.0,1069.0,8595.0,45.16,40.16,ESSP
THE PRIME RIB INC,468.0,575.0,2702.0,12909.0,33.36,27.58,ESSP
THE PRIME RIB INC,508.0,500.0,2581.0,18597.0,41.69,36.61,ESSP
THE PRIME RIB INC,497.0,500.0,2542.0,17463.0,40.25,35.14,ESSP
THE PRIME RIB INC,190.0,500.0,95.0,1129.0,6.44,5.94,ESSP
THE PRIME RIB INC,238.0,575.0,1368.0,7127.0,35.69,29.95,ESSP
THE PRIME RIB INC,394.0,500.0,1977.0,14493.0,41.8,36.78,ESSP
NATIONAL PRESS CLUB,17.0,12.96,215.65,84.0,17.63,4.94,ESSP
NATIONAL PRESS CLUB,6.0,12.96,82.94,44.0,21.16,7.33,ESSP
NATIONAL PRESS CLUB,5.0,12.96,63.63,67.0,26.13,13.4,ESSP
NATIONAL PRESS CLUB,30.0,12.96,386.47,142.0,17.62,4.73,ESSP
NATIONAL PRESS CLUB,4.0,12.96,46.01,18.5,16.13,4.63,ESSP
CHARLIE CHIANG'S REST,285.0,14.04,4000.0,1260.0,18.46,4.42,ESSP
CHARLIE CHIANG'S REST,480.0,15.19,7290.0,2350.0,20.08,4.9,ESSP
CHARLIE CHIANG'S REST,300.0,11.75,3525.0,2100.0,18.75,7.0,ESSP
CHARLIE CHIANG'S REST,480.0,18.02,8650.0,200.0,18.44,0.42,ESSP
