emp_name,hours_worked,hourly_rate_emp,total_wage,total_tips,hourly_rate_avg,tips_avg,source,quarterly_salary,hours_per_week,calculated_salary,delta,wages_outlier_flag1,wages_outlier_flag2,wages_outlier_flag3,wages_outlier_flag4,wages_outlier_flag5,wages_outlier_flag6,wages_outlier_flag7,hours_outlier_flag1,hours_outlier_flag2,total_wages_outlier_flag1,total_tips_outlier_flag1,hourly_rate_avg_outlier_flag1,tips_avg_outlier_flag1,missing_flag1_total_wages,missing_flag2_wage_rate,missing_flag3_hours_worked
P & P CORPORATION,272.0,5.0,1360.0,19002.0,74.86,69.86,ESSP,20362.0,22.666666666666668,1360.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P & P CORPORATION,255.0,5.0,1275.0,18022.0,75.67,70.67,ESSP,19297.0,21.25,1275.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P & P CORPORATION,66.0,5.0,330.0,2954.0,49.76,44.76,ESSP,3284.0,5.5,330.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P & P CORPORATION,335.0,5.0,1677.0,20859.0,67.27,62.27,ESSP,22536.0,27.916666666666668,1675.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P & P CORPORATION,387.0,5.0,1935.0,11552.0,34.85,29.85,ESSP,13487.0,32.25,1935.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P & P CORPORATION,278.0,5.0,1390.0,16139.0,63.05,58.05,ESSP,17529.0,23.166666666666668,1390.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P & P CORPORATION,162.0,5.0,810.0,4603.0,33.41,28.41,ESSP,5413.0,13.5,810.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P & P CORPORATION,357.0,5.0,1787.0,18463.0,56.72,51.72,ESSP,20250.0,29.75,1785.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE PRIME RIB INC,472.0,5.0,2388.0,16685.0,40.41,35.35,ESSP,19073.0,39.333333333333336,2360.0,28.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THE PRIME RIB INC,550.0,5.0,275.0,2239.0,4.57,4.07,ESSP,2514.0,45.833333333333336,2750.0,2475.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
